唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間,search_count
Attraction_395000000A_000726,Attraction,Zh_tw,臺南車站,南火車站日治時期稱為台南驛，最初之站房興建於一九ＯＯ年(日明治三十三年)五月，為一洋風式樣之建築。此建築經過三十多年之使用，已經逐漸不敷使用而且老舊，不足以成為發展中之台南市之門面，因而改建之聲不斷，鐵道部當局也為此甚費苦心。一九二七年(日昭和二年)，縱貫鐵路台北竹南段與台南高雄段的雙線工程被認可後，懸宕已久台南站重建之事也獲得解決。 台南火車站為一棟二層樓之建築，空間型態可視為是由前(西)面之大廳棟、中間之候車棟及後(東)面之月台所組成。大廳之前有門廊，正面為供汽車旅客上下之入口，兩側為行人入口，今,(06)2261314,,臺南市,東區,北門路二段4號,395000000A,臺南市政府,2024/1/9 下午 04:06:59,20500000
Attraction_387000000A_000070,Attraction,Zh_tw,臺中市第二市場,位於臺中市中區三民路與台灣大道一段處，是台中美食集中地。市場內的爌肉飯、麻芛、香菇肉羹、紅茶、麵攤，都是有數十年歷史的老小吃攤，隨意撿家坐下，端上的都是一碗碗經過數十年歲月，無數老饕鑑賞過的美食。在此，你也可以見到許多台中老饕來這一解嘴饞。在逛街品嚐美食之際，別忘了抬頭看看市場內歷史悠久的屋頂、或是街角的樓梯。,(04)22289111,,臺中市,中區,三民路二段87號,387000000A,臺中市政府觀光旅遊局,2025/5/6 下午 05:04:36,20300000
Attraction_379000000A_002881,Attraction,Zh_tw,三創生活,"「三創生活」坐落於市民大道三段與金山北路交界，佔地2,687坪，建築外觀呈現前瞻氣勢，立面設計詮釋產業特性，結合鄰近綠帶的視野，實踐自然與科技共生的設計理念。空間規劃導入科技生活、潮流影音、子親娛樂、動漫文化、探索體驗、創作育成及藝術展演等多元概念，結合園區內隨處可見的數位視屏，讓影像的多元樣貌，觸動對生活的無限想像。園區以人為核心，打造實踐未來的生活平台。期待能藉由互動、分享、探索、學習與創作，帶領大眾重新建構科技、文化與生活的連結。園區共12層樓，緊鄰光華數位新天地，提供選購3C產品的更多選擇。",0809093300,,臺北市,中正區,,379000000A,臺北市政府,2024/12/15 上午 05:01:53,18600000
Attraction_387000000A_000028,Attraction,Zh_tw,臺中公園,臺中公園自1903年(明治36年)10月28日創立以來，一直是臺中市重要的地標，公園內設有人工湖、亭臺樓閣、曲橋等優美造景，還有露天音樂臺、兒童遊戲區、網球場等多項遊樂設施，適合親子一同前往休閒運動，因位於臺中市區，交通方便，成為臺中市一個假日闔家出遊的熱門景點。,(04)22224174,,臺中市,北區,雙十路一段65號,387000000A,臺中市政府觀光旅遊局,2024/11/1 下午 01:33:48,16400000
Attraction_376440000A_000027,Attraction,Zh_tw,新竹縣婦幼館,,(03)5510627,,新竹縣,竹北市,縣政二路620號,376440000A,新竹縣政府交通旅遊處,2025/4/28 上午 06:09:00,15600000
Attraction_387000000A_001138,Attraction,Zh_tw,新臺中火車站,「台中都會區鐵路高架捷運化計畫」歷經多年爭取、規劃及興建，在中央地方通力配合下，台鐵列車改駛高架橋上，高架車站同步啟用。台中都會區鐵路高架北起豐原站北側1.9公里，南迄大慶站南邊1.4公里，全長21.7公里，除現有5座車站改建為高架車站，並增建栗林、頭家厝、松竹、精武及五權等5座高架通勤站。其中大慶及松竹站，與台中捷運綠線共站轉乘，結合軌道運輸路網，讓百年鐵路展現全新風貌。,(04)22227236,,臺中市,中區,臺灣大道一段1號,387000000A,臺中市政府觀光旅遊局,2024/4/8 上午 11:16:39,14800000
Attraction_A15010100H_000028,Attraction,Zh_tw,加路蘭,加路蘭鄰近富岡地質公園(小野柳)，有寬廣的草坪、涼亭、解說站以及觀景台，是東海岸旅行的最佳休息站，區內延續著風化、海蝕景觀，海岸線條紋路特殊，草地上也有不少漂流木裝置藝術作品，是東海岸之旅必遊之地。,(089)281530,,臺東縣,臺東市,加路蘭遊憩區,A15010100H,交通部觀光署東部海岸國家風景區管理處,2025/5/6 下午 05:03:13,14200000
Attraction_382000000A_110836,Attraction,Zh_tw,新北市政府行政大樓,新北市政府行政大樓於92年3月24日完工啟用。這是一棟地上33層、地下4層、樓高140.5米的科技化、智慧型大樓，期為新北市民提供高品質、高效率的服務。新北市政府大樓與台鐵、高鐵及捷運三鐵共構的板橋車站、長途客運站、公車站透過新府路及新站路地下通廊相貫連，交通便捷，四通八達。市府大樓除了提供員工優質的辦公環境外，也提供托兒所、餐廳、麵包店、觀景餐廳、暸望層等多功能的服務場所，1樓大廳還有公共空間的展覽設計，與之連接的市民廣場，不僅有綠意盎然的花草樹木，更不定時有各項民俗、藝文的表演；市民可以到這個全民共享空間歇息散步，體會一下邁向國際化都市的建築及藝術作品的展現。新北市行政大樓除作為行政中心外，更扮演救災及交通指揮樞紐的角色，全市災害應變中心及交通控制中心就設置在市府大樓9樓，由於交控中心的...,(02)29603456,,新北市,板橋區,中山路1段161號,382000000A,新北市政府觀光旅遊局,2022/8/30 上午 03:03:13,12800000
Attraction_376530000A_000072,Attraction,Zh_tw,後灣,後灣位於屏東縣車城鄉，北接國立海洋生物博物館，東臨龜山，西濱台灣海峽，隸屬墾丁國家公園的範圍。後灣沿岸為隆起珊瑚礁地形，自然擁有以礁岩為主體的潮間生態，是一處景觀優美的弧形海灣。 後灣深處海域因為強烈的侵蝕作用，因而造成各種珊瑚礁地形，譬如溶蝕溝，因為溝底平坦、溝壁陡直，所以形成海階地形，而且階與階的距離可達1公尺高。還有溶蝕坑洞，後灣海岸的坑洞範圍相當廣大，絕大部分的坑洞深度都超過30公分，有些甚至是好幾個坑洞洞壁被溶蝕後所集合而成的。這也說明了為何可以在岩岸看到一些侵蝕明顯、時而裸露的珊瑚礁石。 後灣原是一處僻靜的小漁港，因為電影《海角七號》的推波助瀾，許多海角迷想要尋找電影場景中，茂伯一行人聊天到天亮的海邊而聲名大噪，但後灣的悠閒氣息與美麗海灘，確實也不浪得虛名。在進入漁村之後，直往堤防的方向走，不久之後就會看見一座紅藍相間的后灣橋，這裡就是電影中，大家聊天散心的海邊了。 在後灣的海岸上，設有幾座木造觀景平台，站在平台上，優美的海灣曲線一覽無疑，加上眼前是一片風平浪靜的海面，的確能讓心情自然放鬆下來；想去撿撿石頭或踩踩海水，就順著沿岸的堤道走下去，順便還能欣賞到受海水侵蝕後的珊瑚礁孔洞；還有記得要到漁村裡走走看看，近距離感受後灣漁村悠閒自在的氣氛。,(08)8821001,,屏東縣,車城鄉,車城鄉 ,376530000A,屏東縣政府,2024/10/15 上午 06:37:49,12200000
Attraction_376440000A_000034,Attraction,Zh_tw,十三好市集,,0905369013,,新竹縣,竹北市,文興路一段123號,376440000A,新竹縣政府交通旅遊處,2025/4/29 上午 09:12:13,11500000
